Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population
99,El Salvador,"71,479",,"2,187",,"66,903",,"2,389",22,"10,972",336,"956,458","146,814","6,514,767",North America,91,"2,979",7,,,367
100,Cyprus,"71,064",,346,,"39,061",,"31,657",50,"58,488",285,"5,881,056","4,840,280","1,215,024",Asia,17,"3,512",0,,,"26,055"
101,Mozambique,"70,442",,826,,"68,725",,891,21,"2,200",26,"536,999","16,774","32,013,672",Africa,454,"38,757",60,,,28
102,Luxembourg,"69,028",,806,,"66,183",,"2,039",30,"108,734","1,270","2,760,597","4,348,540","634,833",Europe,9,788,0,,,"3,212"
103,Afghanistan,"63,819",+221,"2,751",+6,"55,009",+323,"6,059","1,124","1,608",69,"432,676","10,902","39,688,992",Asia,622,"14,427",92,6,0.2,153
104,Singapore,"61,613",+28,31,,"61,104",,478,2,"10,460",5,"10,441,802","1,772,663","5,890,461",Asia,96,"190,015",1,5,,81
105,Namibia,"51,218",,718,,"48,247",,"2,253",66,"19,845",278,"409,887","158,816","2,580,891",Africa,50,"3,595",6,,,873
106,Botswana,"49,656",,761,,"46,640",,"2,255",1,"20,752",318,"1,089,391","455,268","2,392,857",Africa,48,"3,144",2,,,942
107,Mongolia,"49,175",+533,214,+7,"41,844",+944,"7,117",103,"14,793",64,"2,833,138","852,277","3,324,198",Asia,68,"15,534",1,160,2,"2,141"
108,Jamaica,"47,319",,860,,"23,124",,"23,335",18,"15,919",289,"354,313","119,199","2,972,449",North America,63,"3,456",8,,,"7,850"
109,Ivory Coast,"46,656",,298,,"46,079",,279,,"1,732",11,"608,960","22,600","26,944,545",Africa,578,"90,418",44,,,10
110,Maldives,"44,523",,97,,"28,459",,"15,967",90,"81,125",177,"794,211","1,447,130","548,818",Asia,12,"5,658",1,,,"29,093"
111,Uganda,"42,779",,347,,"41,971",,461,24,910,7,"1,059,988","22,558","46,990,201",Africa,"1,098","135,418",44,,,10
112,Senegal,"40,872",+22,"1,127",+2,"39,597",+24,148,10,"2,387",66,"499,075","29,141","17,126,224",Africa,419,"15,196",34,1,0.1,9
113,Madagascar,"40,204",+63,771,+8,"37,945",+122,"1,488",268,"1,420",27,"195,878","6,920","28,307,945",Africa,704,"36,716",145,2,0.3,53
114,Zimbabwe,"38,560",,"1,582",,"36,329",,649,12,"2,562",105,"445,957","29,629","15,051,170",Africa,390,"9,514",34,,,43
115,Sudan,"34,272",,"2,446",,"27,949",,"3,877",,766,55,"232,965","5,207","44,737,269",Africa,"1,305","18,290",192,,,87
116,Malawi,"34,214",,"1,153",,"32,210",,851,11,"1,749",59,"239,091","12,225","19,558,322",Africa,572,"16,963",82,,,44
117,Angola,"30,637",,659,,"25,715",,"4,263",22,908,20,"527,590","15,632","33,750,530",Africa,"1,102","51,215",64,,,126
118,DRC,"30,609",+47,776,,"26,603",,"3,230",,333,8,"155,288","1,689","91,917,040",Africa,"3,003","118,450",592,0.5,,35
119,Malta,"30,484",+4,417,,"29,920",+15,147,,"68,879",942,"898,798","2,030,861","442,570",Europe,15,"1,061",0,9,,332
120,Australia,"29,978",+3,910,,"28,900",,168,1,"1,164",35,"17,542,376","681,057","25,757,558",Australia/Oceania,859,"28,305",1,0.1,,7
121,Cabo Verde,"28,168",,249,,"25,023",,"2,896",23,"50,188",444,"158,645","282,665","561,247",Africa,20,"2,254",4,,,"5,160"
